Product,Retailer,Original Price,Price (USD),Price Numeric,Rating,URL,Run Datetime
iPhone 17 Pro,Apple,$1099,$1099.00,1099.0,Not displayed,https://www.apple.com/shop/buy-iphone/iphone-17-pro,2025-12-03 01:12:20
iPhone 17 Pro,Sharaf DG (UAE),"AED 4,000",$1080.00,1080.0,4.21301  Reviews,https://uae.sharafdg.com/product/apple-iphone-17-pro-256gb-cosmic-orange-middle-east-version-with-facetime/,2025-12-03 01:12:20
iPhone 17 Pro,Argos (UK),£1069.00,$1346.94,1346.94,127,https://www.argos.co.uk/product/7790069,2025-12-03 01:12:20
iPhone 17 Pro,Verizon (US),$30.55/mo,$30.55/mo,30.55,4.2 out of 5,https://www.verizon.com/smartphones/apple-iphone-17-pro/?sku=sku6037286,2025-12-03 01:12:20
iPhone 17 Pro,AT&T (US),"$,","$,",,No rating displayed,https://www.att.com/buy/phones/apple-iphone-17-pro.html?q=iphone%2017%20pro,2025-12-03 01:12:20
iPhone 17,Apple,$1099,$1099.00,1099.0,Not displayed,https://www.apple.com/shop/buy-iphone/iphone-17,2025-12-03 01:12:20
iPhone 17,Sharaf DG (UAE),"AED 4,000",$1080.00,1080.0,4.3371  Reviews,https://uae.sharafdg.com/product/apple-iphone-17-256gb-white-middle-east-version-with-facetime/?promo=3647723&dg=false,2025-12-03 01:12:20
iPhone 17,Argos (UK),£799.00,$1006.74,1006.74,111,https://www.argos.co.uk/product/7790605,2025-12-03 01:12:20
iPhone 17,Verizon (US),$23.05/mo,$23.05/mo,23.05,4.2 out of 5,https://www.verizon.com/smartphones/apple-iphone-17/?sku=sku6037399,2025-12-03 01:12:20
iPhone 17,AT&T (US),$2,$2.00,2.0,No rating displayed,https://www.att.com/buy/phones/apple-iphone-17.html?q=iphone%2017,2025-12-03 01:12:20
iPhone 16,Apple,$1099,$1099.00,1099.0,Not displayed,https://www.apple.com/shop/buy-iphone/iphone-16,2025-12-03 01:12:20
iPhone 16,Sharaf DG (UAE),"AED 4,000",$1080.00,1080.0,4.51681  Reviews,https://uae.sharafdg.com/product/apple-iphone-16-128gb-white/?promo=3688886&dg=false,2025-12-03 01:12:20
iPhone 16,Argos (UK),£699.00,$880.74,880.74,366,https://www.argos.co.uk/product/4334222,2025-12-03 01:12:20
iPhone 16,Verizon (US),$20.27/mo,$20.27/mo,20.27,4.2 out of 5,https://www.verizon.com/smartphones/apple-iphone-16/?sku=sku6016049,2025-12-03 01:12:20
iPhone 16,AT&T (US),"$,","$,",,No rating displayed,https://www.att.com/buy/phones/apple-iphone-16.html,2025-12-03 01:12:20
iPhone Air,Apple,$1099,$1099.00,1099.0,Not displayed,https://www.apple.com/shop/buy-iphone/iphone-air,2025-12-03 01:12:20
iPhone Air,Sharaf DG (UAE),"AED 4,000",$1080.00,1080.0,51  Reviews,https://uae.sharafdg.com/product/apple-iphone-air-256gb-sky-blue-middle-east-version-with-facetime/,2025-12-03 01:12:20
iPhone Air,Argos (UK),£999.00,$1258.74,1258.74,34,https://www.argos.co.uk/product/7784745,2025-12-03 01:12:20
iPhone Air,Verizon (US),$27.77/mo,$27.77/mo,27.77,4.2 out of 5,https://www.verizon.com/smartphones/apple-iphone-air/?sku=sku6037324,2025-12-03 01:12:20
iPhone Air,AT&T (US),$8,$8.00,8.0,No rating displayed,https://www.att.com/buy/phones/apple-iphone-air.html?q=iphone%20air,2025-12-03 01:12:20
iPad Air,Apple,$999,$999.00,999.0,Not displayed,https://www.apple.com/shop/buy-ipad/ipad-air,2025-12-03 01:12:20
iPad Air,Sharaf DG (UAE),"AED 4,000",$1080.00,1080.0,4.7153  Reviews,https://uae.sharafdg.com/product/11-inch-ipad-air-m3-2025-wi-fi-256gb-space-grey-middle-east-version-with-facetime/?promo=3681733&dg=false,2025-12-03 01:12:20
iPad Air,Argos (UK),£499.00,$628.74,628.74,34,https://www.argos.co.uk/product/4529240,2025-12-03 01:12:20
iPad Air,Verizon (US),$13.88/mo,$13.88/mo,13.88,4.5 out of 5,https://www.verizon.com/tablets/apple-ipad-air-11-inch-m3/?sku=sku6023463,2025-12-03 01:12:20
iPad Air,AT&T (US),$7,$7.00,7.0,No rating displayed,https://www.att.com/buy/tablets/apple-ipad-air-11-inch-m3-2025.html,2025-12-03 01:12:20
